,13C,15N,C/N
BLWD-C3-109-110,-35.945256,1.5968004,36.10742427
BLWD-C3-110-111,-27.363421,1.49741,43.60424349
BLWD-C3-111-112,-27.888256,3.2033,30.2580341
BLWD-C3-112-113,-28.468027,3.31945,20.49714363
BLWD-C3-113-114,-29.152765,3.9911,18.71790214
BLWD-C3-114-115,-29.03995,3.81132,18.71004923
BLWD-C3-115-116,-28.381699,3.87495,22.08570867
BLWD-C3-116-117,-29.364661,3.57599,22.91105744
BLWD-C3-117-118,-27.815662,2.84475,21.92921092
BLWD-C3-118-119,-27.743068,3.03665,33.78217621
BLWD-C3-119-120,-28.995805,3.72042,31.57427164
BLWD-C3-120-121,-28.604386,3.19623,31.72889853
BLWD-C3-121-122,-29.028178,3.38005,23.32188553
BLWD-C3-122-123,-28.946755,1.81051,25.91118982
BLWD-C3-123-124,-28.78489,1.32268,23.99566317
BLWD-C3-124-125,-28.218853,2.19734,19.81036658
BLWD-C3-125-126,-26.684569,1.47317,37.84538267
BLWD-C3-126-127,-26.28334,0.81465,50.35364051
BLWD-C3-127-128,-25.068862,1.19441,52.12358542
BLWD-C3-128-129,-26.3422,0.88535,48.05437331
BLWD-C3-129-130,-26.467768,1.34692,35.53505391
BLWD-C3-130-131,-26.102836,1.26814,35.91568635
BLWD-C3-131-132,-25.644709,0.84596,33.32507492
BLWD-C2-.5-1cm,-26.7898064,1.7019696,13.58312964
BLWD-C2-1.5-2cm,-26.7258074,1.9643268,12.56566782
BLWD-C2-2.5-3cm,-25.1632472,1.7703232,14.77038948
BLWD-C2-3.5-4cm,-26.487465,1.3826105,15.55723322
BLWD-C2-4.5-5cm,-28.5621586,1.606391,12.47975196
BLWD-C2-5.5-6cm,-28.962728,1.648538,16.43447239
BLWD-C2-6.5-7cm,-28.603495,1.5030305,4.694701157
BLWD-C2-7.5-8cm,-28.0090382,1.4187365,11.69075554
BLWD-C2-8.5-9cm,-28.278709,1.1076515,16.1704059
BLWD-C2-9.5-10cm,-27.0937322,1.7880245,15.44082826
BLWD-C2-10.5-11cm,-27.264983,2.642003,14.85269484
BLWD-C2-11.5-12cm,-26.4608916,2.6650835,15.59810368
BLWD-C2-12.5-13cm,-26.4362866,2.8256435,17.29243076
BLWD-C2-13.5-14cm,-26.4195552,2.786507,13.31357076
BLWD-C2-14.5-15cm,-26.6144268,2.6670905,14.60824197
BLWD-C2-15.5-16cm,-27.0504274,2.46338,18.92594496
BLWD-C2-16.5-17cm,-26.9333076,1.080557,16.92390486
BLWD-C2-17.5-18cm,-26.4638442,1.590335,14.57910333
BLWD-C2-18.5-19cm,-29.2048412,2.1773825,10.30958475
BLWD-C2-19.5-20cm,-28.0434852,1.52009,14.03016115
BLWD-C2-20.5-21cm,-28.9174548,1.692692,13.90746263
BLWD-C2-21.5-22cm,-29.9488964,1.791035,17.58225932
BLWD-C2-22.5-23cm,-29.9685804,2.3600195,21.36624753
BLWD-C2-23.5-24cm,-27.4559178,1.8542555,15.64769619
BLWD-C2_24.5-25_V50,-28.0117768,1.5683506,13.0271364
BLWD-C2_25.5-26_V52,-27.6236103,1.1599958,15.2571567
BLWD-C2_26.5-27_V54,-29.1389337,1.692064,11.35564451
BLWD-C2_27.5-28_V56,-27.4958593,1.6880408,14.50897529
BLWD-C2_28.5-29_V58,-26.307775,2.2221206,12.84869987
BLWD-C2-29.5-30_V60,-26.691028,1.9706706,16.14902294
BLWD-C2_30.5-31_V62,-27.6776588,1.868079,11.20227503
BLWD-C2_31.5-32_V64,-28.9345321,3.2369728,15.29623461
BLWD-C2_32.5-33_V66,-32.1479611,5.3813384,12.28168067
BLWD-C2_33.5-34_V68,-31.1505206,4.4690778,11.41979066
BLWD-C2_34.5-35_V70,-33.9413886,4.7486902,11.09466781
BLWD-C2_35.5-36_V72,-29.0160962,4.1824248,19.73311646
